S.no,Name of the Enterprise,Address,Primary Contact 1,Primary Contact 2,Primary Contact Mail Id,Primary Contact Number
1024,M/S DELTA INDUSTRIES,"Flat No:- PLOT NO. 401-B, Building:- INDUSTRIAL AREA, Road/Street:- BEHIND PANAMBUR POLICE STATION, Village/Town:- BAIKAMPADY, Block:- BAIKAMPADY, City:- MANGALORE",M/S DELTA INDUSTRIES,,info@sutrah.in,9845043487
1025,M/S INDRAJE LATEX,"Flat No:- I-183, Building:- INDRAJE LATEX, Road/Street:- INDRAJE POST, Village/Town:- MUPPERIA VILLAGE, Block:- MUPPERIA VILLAGE, City:- MUPPERIA VILLAGE",M/S INDRAJE LATEX,,indrajelatex@gmail.com,9448281294
1026,CELMECH ENGINEERING,"Flat No:- D No. 1-115 (5), Building:- CELMECH ENGINEERING, Road/Street:- Bala, Village/Town:- Bala, Block:- Opp HPCL Gate, City:- Mangalore",SHRI ANANDA HEBBAR KULAI,,celmech@yahoo.com,9448335153
1027,FERRO METALLOID INDIA,"Flat No:- 1ST FLOOR, 2-102/8, Building:- SHAMA NANDANA BUILDING, Road/Street:- HOSABETTU, Village/Town:- KULAI, Block:- GUDDE ROAD, City:- MANGALOREE",SHRI JAGDISH JAYARAMA KANCHAN,,jagadish.kanchan@gsmjglobal.com,9594204227
1028,M/S CITY GOLD FASHION JEWELLERY MANGALORE,"Flat No:- 16-2-T 74/ 5 &amp; 6, Building:- PRESIDENCY WINTAGE, Road/Street:- KANKANADY BYE PASS ROAD, Village/Town:- KANKANADY, Block:- KANKANADY, City:- MANGALORE",M/S CITY GOLD FASHION JEWELLERY MANGALORE,,rameshputhikhd@gmail.com,9901727882
1029,V. K. ENTERPRISES,"Flat No:- 1 S 18 1291 3, Building:- SRI KIRANA, Road/Street:- PANCHALINGESHWARA TEMPLE RD, Village/Town:- ASHOK NAGARA POST, Block:- ., City:- MANGALURU",SHRI KIRAN NARAYAN BOLANTHAKODI,,vkenterprize@yahoo.co.in,9900194077
1030,VK SOFA MAKERS,"Flat No:- 1-80C, Building:- DARBARHILL, Road/Street:- NEAR ESI HOSPITAL, Village/Town:- ALAPE, Block:- PADIL, City:- Mangalore",SHRI VITTALA KONAJE KULAL,,vksofamakers@gmail.com,9845225335
1031,M/S FRIENDS VENEER AND PLY,"Flat No:- PLOT NO 407 AND 408, Building:- FRIENDS VENEER &amp; PLY, Road/Street:- PLOT NO.407 &amp; 408 INDUSTRI, Village/Town:- BAIKAMPADY, Block:- PLOT NO 407 AND 408, City:- MANGALORE",M/S FRIENDS VENEER AND PLY,,info@friendsveneerandply.in,8495940004
1032,M/S VAISHNAVI TRANSPORT CORPORATION,"Flat No:- 104, Building:- PLAMA CREST APARTMENT, Road/Street:- HOSABETTU, Village/Town:- MANGALORE, Block:- HOSABETTU, City:- MANGALORE",M/S VAISHNAVI TRANSPORT CORPORATION,,mithunshetty@vtranscorp.com,9481523562
1033,SRI SHIVA GANESH TRANSPORT,"Flat No:- First Floor, Building:- Navanidhi Complex, Road/Street:- NH-66, Village/Town:- Kulai, Block:- Gokul Nagar, City:- Mangalore",SHRI SUDHIR SHETTY,,ssgtransport@ymail.com,9844022213
1034,M/S ST. GEORGES HOMOEOPATHY,"Flat No:- 5-1/1, 5-1/2, Building:- -, Road/Street:- NEAR PADIL JUNCTION, PADIL, Village/Town:- ALAPE VILLAGE, Block:- PADIL, City:- MANGALORE",M/S ST. GEORGE'S HOMOEOPATHY,,zacmar32@gmail.com,9880841163
1035,M/S BAWA FISHMEAL & OIL CO,"Flat No:- 4TH FLOOR, Building:- BAWA FISHMEAL & OIL CO, Road/Street:- PANDESHWAR, Village/Town:- PARADIGM PLAZA, Block:- A.B SHETTY CIRCLE, City:- MANGALORE",M/S BAWAFISHMEAL AND OIL COMPANY,,mail@bawafishmeal.com,9448146858
1036,M/S NIYAZ SEA FOOD EXPORTS,"Flat No:- 21-4-422B, Building:- OPP KFDC Plant, Road/Street:- Mangalore, Village/Town:- Hoige Bazar, Block:- Mangalore, City:- Mangalore",M/S NIYAZ SEA FOOD EXPORTS,,niyazseafoodexports@gmail.com,9986377777
1037,M/S ENOCH TRADING PRIVATE LIMITED,"Flat No:- DOOR NO 5-90F (20), Building:- EVER SHINE RESIDENCY, Road/Street:- NAGARAKATTE ROAD, Village/Town:- MARPADY, Block:- MARPADY, City:- MOODABIDRI",M/S ENOCH TRADING PRIVATE LIMITED,,arunmendes@gmail.com,9448451826
1038,CHICKEN TIKKA HALAL,"Flat No:- 4-1-160/61 &amp; 62, Building:- SAIBEEN COMPLEX, Road/Street:- MG ROAD, Village/Town:- LALBAGH, Block:- 4-1-160/61 &amp; 62, City:- MANGALORE",SHRI MULKI ABDUL KHADER HASAN BAVA,,chickentikkahalal786@gmail.com,9900146400
1039,KAMADHENU GAS AGENCIES,"Flat No:- R B CENTER, Building:- R B CENTER, Road/Street:- KADRI TOLL GATE NANTHOOR, Village/Town:- MANGALORE, Block:- ., City:- MANGALORE",SHRI DINESH KUMAR SHETTY,,kamadhenulpggas@gmail.com,9844059677
1040,ABHAYA MARBLE- MANUFACTURING & PROCESSING OF MARBLE & GRANITES,"Flat No:- 2-116B, Building:- ABHAY MARBLES, Road/Street:- ABHAY MARBLES 2 116B, NEAR HOS, Village/Town:- HOSABETTU, Block:- HOSABETTU, City:- MANGALORE",SHRI MAHAVEERCHAND JAIN,,abhay.marble@yahoo.in,9845079130
1041,BEJAISERVICE STATION,"Flat No:- 2-18-1574/6, Building:- Bejai service station, Road/Street:- Bejai Kavoor Road, Village/Town:- Bejai, Block:- 0, City:- Mangaluru",SHRI KUDUREPAI HOOVAIAH VISHWANATHA,,bejaiservicestation@gmail.com,9632184844
1042,M M TRADERS,"Flat No:- 3-55 A B, Building:- Everest Building, Road/Street:- Ilanthila, Village/Town:- Ilanthila, Block:- Belthangady Taluk, City:- UPPINANGADY",SHRI ABDUL JABBAR PERNE,,ahjabbar4@gmail.com,8748826847
1043,KCM BULK CARRIERS,"Flat No:- 1-34/1/1-3, Building:- AFRAZ, Road/Street:- SURATHKAL, Village/Town:- KANA, Block:- SURATHKAL, City:- MANGALORE",SHRI RAMASAMY GOPALAKRISHNAN,,GOPALKRISHNANKCM@GMAIL.COM,9449076656
1044,ALFA SUPER MARKETS,"Flat No:- 4-51,J-21, Building:- MANDAVI, Road/Street:- MANIPAL, Village/Town:- EMERALD END POINT, Block:- POINT ROAD, City:- UDUPI",Mohamed Sayed,,YASMART.MANIPAL@GMAIL.COM,9008215599
1045,VISHAL MANPOWER AND SECURITY CONSULTANTS,"Flat No:- #6, KAMALA TOWERS,, Building:- ASHOK NAGAR POST,, Road/Street:- URWA MARKET ROAD, Village/Town:- KAMALA TOWERS, LADYHILL, Block:- URWA MARKET, City:- MANGALORE",SHRI SATISH BAPPALIGE HEGDE,,owldet@gmail.com,9448362456
1046,M/S LAXMIDAS JEWELLERS,"Flat No:- D NO 14- 3 -187/5, Building:- SOUZA ARCADE, Road/Street:- BALMATTA Road, Village/Town:- Mangalore, Block:- BALMATTA,, City:- Mangalore",M/S LAXMIDAS JEWELLERS,,laxmidas_jewellers@yahoo.co.in,9448376060
1047,AL-BADRIYA WOOD INDUSTRIES,"Flat No:- 14-1-62/2(4), Building:- SHRI GANESH, Road/Street:- MANGALORE, Village/Town:- NEAR HOTEL WOODLAND, Block:- BUNTSHOSTEL CIRCLE, City:- MANAGALORE",SHRI ANWAR B SADATH,,albadriyawoodindustries@gmail.com,9686974027
1048,PUSHPA AGENCIES,"Flat No:- 15-4-201/6, Building:- SARASWATHI COMMERCIAL COMPLEX, Road/Street:- S.C.S Hospital road, Village/Town:- Upper Bendoor, Block:- Upper Bendoor, City:- Mangaluru",KUMARI SHREEPRIYA KEKANAJE,,kshreepriya@gmail.com,7829027217
1049,M/S KALBAVI CASHEWS,"Flat No:- PLOT NO. 142 A &amp;, Building:- RAJATH, Road/Street:- ROAD NO. 7, Village/Town:- BAIKAMPADY, Block:- INDUSTRIAL AREA, City:- MANGALORE",M/S KALBAVI CASHEWS,,kalbavicashews@gmail.com,9900052715
1050,SARVODAYA AGENCIES PET HUT,"Flat No:- SHOP NO.9A, Building:- KADRI COMMERCIAL COMPLEX, Road/Street:- K R R ROAD, Village/Town:- KADRI, Block:- 34TH WARD, City:- MANGALURU",SHRI UMESH SUNDAR PUJARI,,umeshpethut@gmail.com,9845193525
1051,M/S SHRI POLALI CRUSHERS,"Flat No:- 108/2, Building:- BADAGA MIJARU, Road/Street:- MOODBIDRI, Village/Town:- MOODABIDRI, Block:- MOODBIDRI, City:- MANGALORE",M/S SHRI POLALI CRUSHERS,,shripolali123@gmail.com,9964203511
1052,M/S DURGA FACILITY MANAGEMENT SERVICES PRIVATE LIMITED,"Flat No:- 4-48/6-2, Building:- Bondala Annex, Road/Street:- Soorya Narayana Temple Road, Village/Town:- Maroli, Block:- Maroli, City:- Mangalore",M/S DURGA FACILITY MANAGEMENT SERVICES PRIVATE LIMITED,,md@durgafacility.com,9845084164
1053,UNITED CARS PVT LTD -,"Flat No:- SY NO:23-1A 2AA, Building:- ALAPE, Road/Street:- NEAR PADIL JUNCTION, Village/Town:- ALAPE, Block:- PADIL, City:- MANGALORE","SRI GANESH RAO, MANAGING DIRECTOR",,ma01b_cs@unitedtoyota.net,9606071536
1054,KIRAN ENTERPRISES,"Flat No:- 1-1306/6, Building:- SRIDEVI COMPLEX, Road/Street:- SULLYA, Village/Town:- DARBE, Block:- DARBE, City:- PUTTUR",vidya nayak,,kiranenterprises799@gmail.com,9448546479
1055,M/S QUALITY FARMS CATTLE AND POULTRY FEEDS,"Flat No:- 1-66, Building:- M/S QUALITY FARMS CATTLE AND POULTRY FEEDS, Road/Street:- Kodimbady, Village/Town:- Matanthabettu, Block:- Matanthabettu, City:- Puttur",M/S QUALITY FARMS CATTLE AND POULTRY FEEDS,,qualitycattle11@gmail.com,9480830970
1056,JEM FOOD PRODUCTS,"Flat No:- 3-71, Building:- VIA JODUMARGA THODAMBILA, Road/Street:- KALLIGE, Village/Town:- KALLIGE, Block:- THODAMBILA, City:- BANTWAL",SHRI JESON SANTHOSH MONTEIRO,,jesonsm@gmail.com,9483178401
1057,M/S MARINE LINKS SHIPPING AGENCIES,"Flat No:- 1ST FLOOR, Building:- ABCO TRADE CENTRE, Road/Street:- MANGALORE, Village/Town:- KOTTARA CHOWKI, Block:- KOTTARA CHOWKI, City:- MANGALORE",M/S MARINE LINKS SHIPPING AGENCIES,,finance@marinelinks.in,9561067998
1058,M/S QUALITY POULTRY FARMS & FEEDS,"Flat No:- 1-66, Building:- Mattanthabettu, Road/Street:- Kodimbady, Village/Town:- Kodimbady, Block:- Mattanthabettu, City:- Puttur",M/S QUALITY POULTRY FARMS & FEEDS,,qualitypoultry11@gmail.com,9480830970
1059,M/S SOUTHERN TRANSLINKS,"Flat No:- 1,3-28/41, Building:- ABCO TRADE CENTRE, Road/Street:- KOTTARA CHOWKI, Village/Town:- KOTTARA CHOWKI, Block:- 1,3-28/41, City:- MANGALORE",M/S SOUTHERN TRANSLINKS,,accounts@cargolinks.net,9845084299
1060,M/S WINMAN SOFTWARE INDIA LLP,"Flat No:- -, Building:- -, Road/Street:- NH-66, Village/Town:- Kottara Chowki, Block:- -, City:- Mangaluru",M/S WINMAN SOFTWARE INDIA LLP,,law@winmansoftware.com,9538108400
1061,M/S INDRA AGRI SUPPLIES,"Flat No:- 18-128/129, Building:- -, Road/Street:- MAIN ROAD, Village/Town:- PANEMANGALORE, Block:- -, City:- BANTWAL TALUK",M/S INDRA AGRI SUPPLIES,,indraagrisupplies@gmail.com,9880534577
1062,M/S EXPERTISE INDUSTRIES,"Flat No:- 3- 74 (A), Building:- EXPERTISE INDUSTRIES, Road/Street:- DEVIPURA ROAD, Village/Town:- TALAPADY, Block:- DEVIPURA, City:- MANGALORE",M/S EXPERTISE INDUSTRIES,,expertiseindustries@gmail.com,9886326262
1063,SHAHAN SUPARI INDUSTRIES,"Flat No:- II-220/1, Building:- RK COMPOUND, Road/Street:- KEMMAI CHIKKAMUDNOOR, Village/Town:- PUTTUR TALUK, Block:- II-220/1, City:- PUTTUR",SHRI MOHINUDDIN PARLADKA,,pathumolu@gmail.com,9845755858
1064,RAMANATH ENTERPRISES,"Flat No:- RAMANATH ENTERPRISES, Building:- PRANAM, Road/Street:- KARANGALPADY, Village/Town:- PINTOS LANE, Block:- NEAR TANDOOR BAR AND RESTAURAT, City:- MANGALORE",SHRI KAVOOR RAMACHANDRA PRASANNA,,kavoor.prasanna@gmail.com,9880733055
1065,M/S SRI SIDDIVINAYAKA INDUSTRIES,"Flat No:- 2-47/1, Building:- SRI SIDDIVINAYAKA INDUSTRIES, Road/Street:- SARAPADY, Village/Town:- MANINALKUR, Block:- ERMALA, City:- BANTWAL",M/S SRI SIDDIVINAYAKA INDUSTRIES,,srisiddivinayakacashews@gmail.com,9945268827
1066,M/S GANESH MEDICALS,"Flat No:- 16-3-201/2 and 3, Building:- ground floor impala building, Road/Street:- kankanady, Village/Town:- mangalore, Block:- kankanady, City:- mangalore",M/S GANESH MEDICALS,,ganeshmedicals84@gmail.com,9449592284
1067,M MANOHAR RAO,"Flat No:- 8/5/6, Building:- Swasthika Towers, Road/Street:- MRPL Road, Village/Town:- Surathkal, Block:- 8/5/6, City:- Mangalore",SHRI MANOHAR MANGALORE,,mmanurao@gmail.com,9448117343
1068,M/S ROYAL PACKAGING,"Flat No:- 4-112, Building:- BEYLAR HOUSE, Road/Street:- MANGALURU, Village/Town:- BAIKAMPADY, Block:- MANGALURU, City:- MANGALURU",M/S ROYAL PACKAGING,,royalpack.18@gmail.com,8277760030
1069,M/S JONAS PETRO PRODUCTS PRIVATE LIMITED,"Flat No:- PLOT NO 277, Building:- JONAS PETRO PRODUCTS PVT LTD, Road/Street:- KIADB ,Indl Area, Village/Town:- BAIKAMPADY, Block:- 6-64/1, City:- NEW MANGALORE",M/S JONAS PETRO PRODUCTS PRIVATE LIMITED,,jonaspetroproducts2010@gmail.com,7259309015
1070,REYANSH TRADERS,"Flat No:- 3-41/2, Building:- PUNDIKAI ROSHNI COMPOUND, Road/Street:- Naringana, Village/Town:- Bantwal, Block:- Vidyanagar, City:- Bantwal",SHRI RAHUL GUPTA,,rr.12bhopal@gmail.com,8839190083
1071,M/S MUWAHHID EDUCATIONAL FOUNDATION,"Flat No:- NA, Building:- RED CAMELS SCHOOL, Road/Street:- KAVOOR, Village/Town:- KAVOOR VILLAGE, Block:- NA, City:- MANGALORE",M/S MUWAHHID EDUCATIONAL FOUNDATION,,azamsheik2000@gmail.com,9845548140
1072,GLOBAL INDIA CORPORATION,"Flat No:- -, Building:- city complex building ,, Road/Street:- mrpl road ,, Village/Town:- katla, Block:- -, City:- Dakshina Kannada",SHRI VIVIYAN WILLIAM DSOUZA,,viviandsouza1983@gmail.com,9731161354
1073,M/S THE CANARA WORKSHOPS LIMITED,"Flat No:- 17-107, Building:- THE CANARA WORKSHOPS LIMITED, Road/Street:- V .S. Kudva Road, Village/Town:- Maroli, Block:- 17-107, City:- MANGALORE",M/S THE CANARA WORKSHOPS LIMITED,,canarasprings@gmail.com,9448144326
1074,SHREYAS SWEETS,"Flat No:- 8-5-367/3, Building:- MALLYA ARCADE, Road/Street:- KULUR FERRY ROAD, Village/Town:- ALAKE, Block:- ALAKE, City:- MANGALURU",SMT NANDAVAR ASHA MALLYA,,shreyasweets@gmail.com,9845741683
1075,AARADHYA INCORPORATION,"Flat No:- NO 408, 4TH FLOOR, Building:- KAMALA TOWERS, Road/Street:- ., Village/Town:- LADY HILL URVA MARKET ROAD, Block:- URVA, City:- MANGALORE",SMT SONALI ASHWIN BALLAL,,aaradhya.incorp@gmail.com,9845084819
1076,AKASH SHIPPING AGENCY,"Flat No:- PLOT NO. 140-D, Building:- AKASH SHIPPING AGENCY, Road/Street:- BAIKAMPADY, Village/Town:- INDUSTRIAL AREA, Block:- KIADB, INDUSTRIAL AREA, City:- MANGALURU",M/S AKASH SHIPPING AGENCY,,export@akashshipping.com,8884418825
1077,M/S AMOGHA LOGISTICS,"Flat No:- 1st floor, Building:- Sri ram building, Road/Street:- Mangalore, Village/Town:- Kottara, Block:- Chowki, City:- Mangalore",M/S AMOGHA LOGISTICS,,Kavinshetty@amoghagroup.com,8861898989
1078,M/S DIVYAROOPA INFRACON PRIVATE LIMITED,"Flat No:- NO.1-59-5, Building:- SHRI KANIKA NILAYA, Road/Street:- PERMUDE, Village/Town:- BATRA KERE, Block:- PERMUDE POST AND VILLAGE, City:- MANGALORE",M/S DIVYAROOPA INFRACON PRIVATE LIMITED,,divyaroopainfra@gmail.com,8722157954
1079,SHA ENTERPRISES,"Flat No:- 10-19-933, Building:- PORT WARD, Road/Street:- BUNDER, Village/Town:- KASBA BAZAR, Block:- KASBA BAZAR, City:- MANGALORE",SHRI MOHAMMED MUSTHAFA,,TSHBASSOCIATES@GMAIL.COM,9611452585
1080,M/S BANSAL WINDMILLS PRIVATE LIMITED,"Flat No:- 162-B, Building:- Bansal Windmills Private Limited, Road/Street:- Baikampady Industrial Area, Village/Town:- Baikampady, Block:- Baikampady, City:- Mangalore",M/S BANSAL WINDMILLS PRIVATE LIMITED,,accounts@brightpackaging.in,8884097699
1081,DEEKSHA TRAVELS,"Flat No:- NA, Building:- KOTTARI COMPOUND, Road/Street:- VIDYANAGAR, Village/Town:- KULAI, Block:- NA, City:- MANGALORE",SMT SUDHIR VASANTHI,,deekshatravels95@gmail.com,9480294550
1082,M/S SATHYAM ROLLER FLOUR MILLS PRIVATE LIMITED,"Flat No:- Door No 4-1-143/1, Building:- Vartex one, Gateway Building, Road/Street:- M G Road, Village/Town:- Mangalore, Block:- Ballalbagh, City:- Mangalore",M/S SATHYAM ROLLER FLOUR MILLS PRIVATE LIMITED,,gm.admin@srfm.co,9074032867
1083,KRISHNA SUPARI DEPOT,"Flat No:- SHOP NO 5-50(A), Building:- MENDES SQUARE, Road/Street:- HERO SHOWROOM ROAD, Village/Town:- MOODABIDRI, Block:- 1, City:- MOODABIDRI",SHRI MAHESH MADHAVJIBHAI JIVANI,,krishnasuparidepo@gmail.com,7975185575
1084,SRI GURUKRIPA OIL MILL,"Flat No:- 11-8-107/2(1), Building:- Sri Gurukripa Oil Mills, Road/Street:- Ashok Nagar, Village/Town:- Derebail, Block:- Opp Rehman Saw Mill, City:- Mangalore",SMT ROOPA VIJAYENDRA BHAT,,shrigurukripaindustries@yahoo.in,9845976777
1085,SUVARNA ENTERPRISES,"Flat No:- No.C25, Building:- Emporium Complex, Road/Street:- Old Pumpwell Road, Village/Town:- Kankanady, Block:- Kankanady, City:- Mangalore",Jagdeep Suvarna,,suvarnagroup@yahoo.com,9449147791
1086,M/S PAI TIFFINS PRIVATE LIMITED,"Flat No:- D. NO. 8-3-188, Building:- SARASWATHI, Road/Street:- OLD G. T. ROAD, Village/Town:- SECOND FLOOR, Block:- KUDROLI, City:- MANGALURU",M/S PAI TIFFIN'S PRIVATE LIMITED,,paitiffins@gmail.com,9900555657
1087,M/S CITIBAKE INDUSTRIES,"Flat No:- 17-81/4, Building:- CITIBAKE INDUSTRIES, Road/Street:- KALPANE KULSHEKAR, Village/Town:- DAKSHINA KANNADA, Block:- UNIT-1, City:- MANGALURU",M/S CITIBAKE INDUSTRIES,,citybakeryindia@gmail.com,9844073777
1088,SRK LADDERS,"Flat No:- Plot No 21, Building:- SRK LADDERS,, Road/Street:- PUTTUR, Village/Town:- INDUSTRIAL AREA, MUKRAMPADY, Block:- MUKRAMPADY, City:- PUTTUR",SHRI KESHAVA AMAI,,Srkladders@gmail.com,9448453404
1089,ABOOBAKKER,"Flat No:- 1-147/2, Building:- MONAZ MANZIL, Road/Street:- ULLAL, Village/Town:- KOTEPURA, Block:- ULLAL, City:- MANGALORE",SHRI ABOOBAKKER,,kabeermohammed52@yahoo.com,9880407887
1090,M/S SHREE VENKATESHWARA PROCESSORS,"Flat No:- 2-229,JANAKA ESTATE, Building:- CHANDALIKE, Road/Street:- BANTWAL TALUK, Village/Town:- BANTWAL TALUK, Block:- BANTWAL, City:- MANGALORE",M/S SHREE VENKATESHWARA PROCESSORS,,svpvittal@gmail.com,9845865244
1091,V S K ENTERPRISES,"Flat No:- 1-16-5-3, Building:- VAILANKANNI ARC, Road/Street:- MAHAVEERA CIRCLE, Village/Town:- PUMPWELL, Block:- -, City:- MANGALORE",SHRI SUNIL KESHAVA,,amaronmangalore1@gmail.com,9448464433
1092,M/S PRAGATHI BIOTECH,"Flat No:- G10, GROUND FLOOR,, Building:- DEEPA PLAZA, Road/Street:- M.G.ROAD, Village/Town:- MANGALORE, Block:- M.G.ROAD, City:- MANGALORE",M/S PRAGATHI BIOTECH,,PRAGATHIBIOTECH@HOTMAIL.COM,9880623432
1093,M/S BREVERA TECHNOLOGIES PRIVATE LIMITED,"Flat No:- D.No. 2-15-1319/15,1, Building:- Sai Arcade, Road/Street:- BEJAI KAPIKAD ROAD, Village/Town:- BEJAI, Block:- BEJAI, City:- MANGALORE",M/S BREVERA TECHNOLOGIES PRIVATE LIMITED,,venugopalapk@gmail.com,7795020002
1094,M/S ALVAS TRADERS,"Flat No:- 1-3-3/1 and 1-1-3/2, Building:- SWASTI COMPOUND, Road/Street:- NA, Village/Town:- PADAVINANGADY, Block:- KONCHADY, City:- MANGALORE",SHRI TILAK DEVDAS ALVA,,alvastraders@gmail.com,9449833604
1095,RESHMA TRAVELS,"Flat No:- SHOP NO. 13, Building:- R B COMMERCIAL COMPLEX, Road/Street:- ALVAS HOSPITAL ROAD, Village/Town:- Moodbidri, Block:- 5-169 A 18, City:- Moodbidri",SHRI MOHAMMED FIROZ SHAIKH,,Info@reshmatravels.com,9901302998
1096,M/S PAVITHRA ENGINEERING AND CONSTRUCTIONS,"Flat No:- 6-112/8, Building:- PAVITHRA COMPLEX, Road/Street:- KANKANADY, Village/Town:- NETHRAVATHI NAGAR LAYOUT, Block:- NAGORI, City:- MANGALURU",M/S PAVITHRA ENGINEERING AND CONSTRUCTIONS,,gbalrajpwd@gmail.com,7795337400
1097,M/S ABC AUTO CORPORATION,"Flat No:- 20-2-195, Building:- fahad conpound, Road/Street:- azzizuddin road, Village/Town:- mangalore, Block:- behind sugandhi building, City:- mangalore",M/S ABC AUTO CORPORATION,,mangaloreabc@gmail.com,8792889804
1098,CROP CARE SUPPLIES,"Flat No:- 1st Floor, Building:- Supariwala Building, Road/Street:- Nireshwallaya Road, Village/Town:- Bunder, Block:- Baby Mill Compound, City:- Mangalore",SHRI PANIKULANGARA JAMES JOSE,,cropsupplies.sm@gmail.com,9448137091
1099,M/S MADHAV PRAKASH CASHEWS,"Flat No:- Sy.No.201/2, Building:- MADHAV PRAKASH CASHEWS, Road/Street:- Kudremukh Road, Village/Town:- Kudremuk, Block:- Kudremukh Road, City:- karkala",M/S MADHAV PRAKASH CASHEWS,,MPCKARKALA@GMAIL.COM,9945912779
1100,M/S SHAILENDRA RISHI RAJ INDUSTRIES INDIA PRIVATE LIMITED,"Flat No:- 1-6/1, Building:- SHAKTHI HOUSE, Road/Street:- KANKANADY BY-PASS ROAD, Village/Town:- MANGALORE, Block:- MANGALORE, City:- MANGALORE",M/S SHAILENDRA RISHI RAJ INDUSTRIES INDIA PRIVATE LIMITED,,raj@srrmasalas.com,9986272023
1101,GREEN VENTURES,"Flat No:- I-4/13/9, Building:- TV TOWER, Road/Street:- DEREBAIL, Village/Town:- DEREBAIL, Block:- KONCHADY, City:- MANGALORE",SHRI SHERZAN UL RIDHWAN,,TVGROUP.IN@GMAIL.COM,9845840755
1102,M/S WORLDLINKS LOGI SERVICES PRIVATE LIMITED,"Flat No:- No 61-B, Building:- Third Floor, Road/Street:- Kavoor Road, Village/Town:- Commerce Centre, Block:- Kulur, City:- Kulur",M/S WORLDLINKS LOGI SERVICES PRIVATE LIMITED,,info@worldlinkslogistics.com,8088669919
1103,M/S TOPCO ZAM ZAM JEWELLERY,"Flat No:- 1, Building:- FORTUNE MALL, Road/Street:- COURT ROAD, Village/Town:- PUTTUR, Block:- 0, City:- PUTTUR",M/S TOPCO ZAM ZAM JEWELLERY,,topcoputtur@gmail.com,9895232233
1104,M/S HASAN HAJEE AND CO,"Flat No:- 20-8-674, Building:- Khadeeja Court, Road/Street:- Bunder, Village/Town:- Near Municipal Office Road, Block:- 20-8-674, City:- Mangalore",M/S HASAN HAJEE AND CO,,ameen@hasanhajee.com,9980141737
1105,M/S EAGLE ELECTRICALS,"Flat No:- 04-750-3, Building:- Krishna Complex, Road/Street:- M.G Road, Village/Town:- Kodialbail, Block:- Kodialbail, City:- Mangalore",M/S EAGLE ELECTRICALS,,accounts@eagleelectricals.com,9448090072
1106,BABA AGENCY,"Flat No:- NO. 04-40 MT, Building:- CELLER SHOP, Road/Street:- A P M C YARD, Village/Town:- PUTTUR, Block:- SALMARA, City:- PUTTUR",SMT VACHHANI MINTUBEN,,BABAAGENCYPTR@GMAIL.COM,7760240388
1107,M/S PRASANNA TECHNOLOGIES PRIVATE LIMITED,"Flat No:- 4-8-732/57&amp;58, Building:- essel centre, Road/Street:- MG Road, Village/Town:- kodialbail, Block:- kodialbail, City:- Manglore",M/S PRASANNA TECHNOLOGIES PRIVATE LIMITED,,accounts@prasannatechnologies.com,9448490742
1108,MAHALASA ASSOCIATES,"Flat No:- DOOR NO: 4-24/11, Building:- SHREYA TOWERS, Road/Street:- SURATHKAL, Village/Town:- OPP: VIDYADAYNEE SCHOOL, Block:- NEAR HONDA MATRIX, City:- MANGALORE",SHRI JAGADISH VASUDEV PAI,,paijagadishpai@gmail.com,9448405148
1109,AYSHA PANEL BOARDS,"Flat No:- A-1-278(3), Building:- AYSHA PANEL BOARDS, Road/Street:- BANTWAL, Village/Town:- TARABARI, Block:- AMTOOR, City:- MANGALORE",SHRI YASEER ARAFATH,,ayshapanel@gmail.com,9342250924
1110,M/S CILA AGROTECH PRIVATE LIMITED,"Flat No:- 2ND FLOOR, Building:- PARIN, 16-7-706/12(4), Road/Street:- COLLECTORS GATE, Village/Town:- BALMATTA, Block:- BALMATTA, City:- MANGALORE",M/S CILA AGROTECH PRIVATE LIMITED,,accounts@cilaagrotech.com,9611109447
1111,M/S I J ENTERPRISES,"Flat No:- S.No.237/3A,D.No.3-2, Building:- Nandadeep Industries Compound,, Road/Street:- Marihill, Village/Town:- Padavu Village, Block:- NA, City:- PADAVU VILLAGE",M/S I J ENTERPRISES,,amithfernandes85@gmail.com,9620862899
1112,M/S NUTAN ENTERPRISES,"Flat No:- 5-10-1040/21, Building:- B BHASKAR SHET BUILDING, Road/Street:- KULUR FERRY ROAD, Village/Town:- ALAKE, Block:- ALAKE, City:- MANGALURU",M/S NUTAN ENTERPRISES,,nutangas@rediffmail.com,9164751170
1113,CAR DECOR,"Flat No:- 15/13/716/2 2/1 2/06, Building:- Windcliff, Road/Street:- Kadri, Village/Town:- Kadri, Block:- Shivabagh, City:- Mangalore",SHRI NAGESH HEGDE,,Mukeshhegde123@gmail.com,9343561417
1114,AMBIGA ENTERPRISES,"Flat No:- 3-25/11, Building:- JAYA KRISHNA, Road/Street:- KULUR, Village/Town:- KULUR, Block:- F2, FIRST FLOOR, City:- MANGALORE",SHRI SHIVANANDA HANUMANTHA MARUTHI,,ambigaenterprises@gmail.com,9008444418
1115,MANGALORE HIQ STATION,"Flat No:- 3-W-8-T-637/2, Building:- MANGALORE HIQ STATION, Road/Street:- MANGALORE, Village/Town:- KADRI, Block:- KADRI HILLS, City:- MANGALORE",SHRI RAGHAVENDRA KHARVI,,mrplmhskadri@gmail.com,9686620489
